attendance_consistency,task_completion,task_delay_rate,productive_hours,experience,project_complexity,feedback_score,role,performance_percentage
95.99,82.46,10.36,8.35,2,4,4.59,Employee,100.0
65.23,53.07,88.28,5.73,2,3,2.12,Team Lead,51.85
58.55,53.79,84.16,5.23,6,1,1.85,Manager,59.34
83.29,71.14,37.19,7.33,2,1,3.87,Employee,92.72
93.84,89.02,26.73,9.08,2,4,4.18,Employee,100.0
73.98,67.4,48.96,6.3,5,2,3.71,Team Lead,84.97
76.01,65.59,36.86,7.7,13,1,3.27,HR,100.0
96.11,94.65,0.93,9.26,13,2,4.63,Employee,100.0
84.92,69.99,34.24,7.29,13,5,3.88,Team Lead,100.0
73.64,79.27,48.69,6.89,11,2,3.82,Employee,100.0
75.2,77.91,31.62,7.96,13,4,3.87,Employee,100.0
97.18,89.85,2.83,9.66,4,5,4.85,Team Lead,100.0
72.18,70.47,39.95,6.23,9,3,2.65,HR,87.61
53.93,46.29,65.21,5.92,4,1,2.28,HR,61.31
71.19,71.98,59.36,6.49,7,1,3.12,HR,87.57
95.19,82.77,29.3,9.91,10,4,4.51,HR,100.0
74.45,69.2,36.6,6.93,11,2,3.78,Manager,100.0
61.88,56.14,71.89,4.16,10,3,1.56,Team Lead,60.51
64.37,42.58,66.69,4.3,7,4,1.47,Manager,50.38
72.89,72.27,53.89,6.76,6,1,2.65,Team Lead,86.2
70.95,65.99,31.28,6.82,9,4,3.58,Manager,93.26
86.45,97.54,22.5,8.66,7,4,4.14,Employee,100.0
53.34,40.38,86.45,5.07,6,4,2.12,Team Lead,48.09
99.37,97.09,2.35,9.44,7,3,4.35,Employee,100.0
95.55,87.1,26.78,9.0,5,1,4.65,Team Lead,100.0
81.03,66.2,40.78,7.72,11,5,2.85,HR,96.79
59.06,47.41,63.82,4.8,11,1,1.46,HR,67.55
81.24,73.37,47.18,6.33,11,2,3.18,Manager,98.46
71.18,73.31,44.32,7.41,8,3,3.28,Manager,94.35
50.0,54.92,66.34,4.03,5,2,1.54,HR,49.53
69.18,58.46,77.6,5.41,14,1,2.23,Team Lead,83.49
62.31,54.1,84.79,5.94,14,1,2.48,HR,82.93
92.93,80.71,9.9,9.87,6,4,4.37,Manager,100.0
98.92,85.97,26.97,9.37,3,5,4.65,HR,100.0
88.16,84.94,17.05,8.01,3,1,4.02,HR,100.0
58.08,48.03,82.5,4.83,10,2,1.97,Manager,62.4
65.86,63.63,86.68,5.5,5,5,1.01,Manager,50.77
97.81,84.84,28.82,8.39,8,3,4.95,HR,100.0
78.1,73.68,46.7,6.82,3,3,3.98,Team Lead,86.31
96.51,80.56,20.54,8.31,12,3,4.69,Team Lead,100.0
50.74,62.4,87.18,5.2,1,2,2.46,HR,50.27
77.74,70.28,55.59,6.91,4,5,2.84,HR,76.17
53.98,41.32,74.32,4.43,9,5,1.81,Employee,50.24
59.41,57.87,78.46,5.91,1,1,1.84,Manager,55.25
72.23,77.42,47.59,6.49,6,3,3.47,Manager,87.59
75.83,71.73,37.13,6.75,10,3,2.84,Manager,94.99
83.25,68.47,34.18,7.7,1,2,3.11,Team Lead,86.57
58.66,48.26,69.95,5.29,10,4,2.25,Employee,64.85
71.0,73.59,56.05,7.23,8,2,2.51,HR,89.36
82.92,68.29,59.24,7.56,14,3,2.67,HR,100.0
67.22,42.46,89.71,5.22,8,1,1.03,Team Lead,56.88
55.2,64.67,81.97,5.21,7,2,1.26,Team Lead,59.13
95.8,91.39,21.72,9.09,13,5,4.96,HR,100.0
80.84,77.9,32.77,7.85,12,4,3.7,Employee,100.0
69.98,40.37,71.97,4.06,1,4,2.21,Employee,40.54
70.65,70.91,55.26,7.61,2,1,3.95,HR,87.69
70.2,79.08,35.62,6.03,8,3,2.95,Employee,89.06
91.26,89.37,22.81,8.31,1,4,4.23,Employee,100.0
95.36,82.05,7.34,9.19,14,5,4.28,Team Lead,100.0
56.51,62.52,89.88,5.65,11,1,2.27,HR,74.5
67.3,47.98,61.68,4.43,13,4,2.14,Employee,69.7
92.62,87.61,0.02,9.67,5,1,4.0,Employee,100.0
52.4,46.0,86.68,5.14,13,3,2.01,Employee,65.31
81.82,65.4,58.43,6.69,5,3,3.74,Team Lead,84.57
74.66,67.58,55.34,7.19,1,2,3.31,Employee,78.36
97.12,87.13,3.03,9.92,2,4,4.65,Team Lead,100.0
97.53,97.69,29.32,8.33,10,1,4.85,Employee,100.0
93.69,93.23,9.01,8.87,4,2,4.74,Employee,100.0
78.86,79.9,32.06,6.38,12,2,3.66,Manager,100.0
96.66,87.16,8.69,9.37,8,4,4.6,Employee,100.0
98.22,83.43,10.4,9.94,14,5,4.78,HR,100.0
91.62,83.15,13.61,9.56,5,2,4.6,Manager,100.0
86.08,93.2,12.95,9.53,1,1,4.99,HR,100.0
90.85,87.67,6.56,8.19,10,1,4.26,Manager,100.0
97.69,98.87,8.95,8.7,6,4,4.41,Team Lead,100.0
53.96,63.83,62.08,5.8,14,1,1.22,Employee,81.29
67.84,48.43,75.83,5.29,3,2,1.49,Employee,52.26
98.26,97.25,13.3,9.17,11,5,4.98,Manager,100.0
93.56,87.62,11.4,8.41,6,2,4.83,Employee,100.0
75.72,79.31,45.19,6.78,3,4,3.67,Manager,83.93
68.39,59.93,70.09,4.11,4,1,1.14,Employee,53.33
98.24,92.38,11.67,9.43,14,4,4.86,Manager,100.0
62.28,40.21,81.58,5.12,8,4,1.73,HR,53.54
58.49,61.14,74.69,5.06,8,1,1.87,Employee,66.7
92.76,82.47,28.06,9.41,4,1,4.08,Team Lead,100.0
69.94,59.42,85.76,4.61,5,1,2.0,Team Lead,59.22
99.07,94.27,2.83,9.55,2,3,4.78,Team Lead,100.0
93.95,81.42,26.27,9.24,14,5,4.24,Manager,100.0
77.49,79.4,52.99,7.39,2,5,3.37,Team Lead,80.41
98.37,87.26,13.61,8.58,14,3,4.34,HR,100.0
59.89,54.71,70.88,5.23,12,4,2.32,Manager,70.93
87.02,96.58,4.67,8.89,7,3,4.92,Manager,100.0
95.98,92.27,29.01,9.87,7,1,4.84,HR,100.0
89.86,98.61,28.39,9.0,4,4,4.73,Employee,100.0
77.72,75.12,49.43,7.51,9,3,2.67,HR,94.96
69.73,43.56,74.97,5.24,10,2,2.05,Team Lead,67.96
90.91,93.84,16.37,8.63,14,3,4.07,Manager,100.0
96.1,88.81,22.51,8.61,11,5,4.71,Team Lead,100.0
95.09,98.49,0.36,9.07,14,4,4.61,HR,100.0
66.68,42.13,62.92,5.26,6,1,1.14,Manager,58.73
81.63,75.56,46.57,7.94,5,1,3.09,Employee,96.91
80.09,68.45,39.68,6.92,14,5,3.38,Team Lead,100.0
91.81,92.49,25.05,8.03,1,3,4.1,Manager,100.0
86.55,91.5,18.22,9.86,8,3,4.15,Team Lead,100.0
96.96,86.39,19.36,8.29,8,2,4.34,Team Lead,100.0
65.85,60.26,81.93,4.98,13,3,2.41,Manager,75.1
77.11,76.64,34.58,7.39,11,3,2.59,HR,100.0
67.43,53.06,80.41,4.57,7,3,1.37,HR,54.43
74.85,76.73,32.03,6.64,1,2,2.76,Employee,80.29
66.87,63.47,66.37,5.61,4,1,2.13,Manager,67.23
57.19,44.22,89.21,4.18,1,3,1.9,Employee,36.14
60.1,57.46,76.29,5.33,1,2,2.23,Manager,52.81
79.02,73.76,55.39,6.09,14,3,3.06,HR,98.52
96.77,83.25,19.19,9.19,11,5,4.72,HR,100.0
95.52,83.32,23.31,9.87,14,5,4.3,HR,100.0
77.73,78.9,45.63,7.98,4,5,3.26,Employee,88.2
69.32,50.1,61.45,4.95,8,5,2.24,HR,61.99
96.94,99.87,21.5,9.46,2,1,4.91,Employee,100.0
93.71,97.69,18.05,8.3,11,2,4.02,Manager,100.0
80.27,71.09,56.78,6.92,9,1,3.66,Employee,98.93
82.97,72.22,31.53,7.81,1,1,3.28,Team Lead,91.52
57.66,53.05,78.11,5.7,14,3,1.59,HR,73.14
66.74,43.3,68.64,5.23,5,2,1.73,Employee,56.74
63.19,49.13,75.33,5.87,1,5,2.09,Employee,47.29
63.13,46.03,69.4,5.44,9,2,1.22,Manager,62.97
89.45,80.21,7.13,8.86,1,4,4.47,Employee,100.0
78.24,76.19,38.19,6.1,5,3,2.58,HR,82.19
56.69,46.14,60.81,5.35,13,4,1.09,Employee,66.07
65.99,63.37,77.37,4.94,9,1,1.17,HR,66.57
92.41,81.95,16.06,9.81,12,2,4.11,Manager,100.0
90.82,97.86,27.33,8.71,14,4,4.59,HR,100.0
89.06,82.6,25.1,8.65,13,2,4.42,Employee,100.0
67.88,57.18,72.59,5.2,1,3,1.5,Employee,49.09
96.51,98.11,12.28,9.91,6,3,4.87,Employee,100.0
64.05,41.32,67.59,4.68,12,3,2.38,Employee,68.19
71.8,65.08,31.55,7.83,3,1,3.86,HR,93.64
52.73,51.84,73.39,4.89,8,1,1.44,Manager,59.66
84.49,74.91,53.47,6.26,7,5,3.13,Team Lead,83.81
71.26,77.49,50.05,7.04,1,3,3.44,Employee,79.5
65.1,52.0,63.24,5.84,10,2,2.05,Manager,74.65
58.08,59.37,85.41,5.77,9,2,1.02,Manager,63.22
65.75,49.26,88.07,4.03,2,3,1.68,Employee,40.14
74.19,75.58,47.57,6.89,13,4,3.72,Employee,100.0
58.26,50.47,71.11,5.69,4,1,1.64,Manager,58.16
92.84,80.7,10.59,9.84,7,1,4.64,Manager,100.0
84.69,67.72,30.64,7.9,1,2,3.61,Employee,90.94
84.65,72.74,44.9,7.46,6,4,3.94,HR,95.02
63.73,54.31,68.57,4.51,11,5,1.69,HR,61.5
81.58,78.9,31.89,7.26,13,1,2.72,Employee,100.0
79.09,68.4,49.07,7.31,9,1,3.09,Employee,98.46
87.89,89.94,8.21,8.23,3,1,4.69,Manager,100.0
71.87,79.35,53.94,6.52,7,3,3.38,HR,88.49
98.31,91.43,8.53,9.19,8,3,4.19,Manager,100.0
52.36,43.02,69.74,4.78,9,5,1.06,Employee,49.23
61.99,54.92,63.81,5.63,3,2,2.29,HR,60.77
80.83,72.59,50.96,7.93,7,1,2.91,Team Lead,98.0
87.89,89.93,15.74,9.77,13,4,4.61,Manager,100.0
89.8,98.31,24.46,9.43,3,1,4.49,Employee,100.0
85.73,84.08,3.97,9.56,10,3,4.25,Team Lead,100.0
58.31,64.02,82.95,5.85,11,4,2.31,Team Lead,71.98
81.74,74.96,33.68,6.09,9,5,3.57,Manager,92.49
88.13,84.59,4.73,8.04,8,5,4.69,Team Lead,100.0
87.1,87.96,29.12,8.65,1,3,4.94,Manager,100.0
54.94,61.22,66.87,4.13,4,2,1.41,Manager,50.45
82.31,73.62,52.39,6.37,1,4,3.62,HR,76.14
66.96,57.13,68.7,4.4,1,4,1.4,Team Lead,43.14
70.17,74.31,53.9,6.12,5,5,3.25,Team Lead,75.9
77.13,77.75,47.27,7.5,6,4,3.39,Team Lead,91.59
90.48,83.11,17.76,8.22,12,3,4.71,Manager,100.0
65.06,50.22,84.79,5.09,10,5,1.48,HR,57.22
90.76,85.37,19.56,8.27,5,4,4.52,Team Lead,100.0
50.13,57.55,85.99,4.23,10,3,2.13,Employee,58.41
67.35,43.08,66.21,4.11,1,3,1.37,Manager,39.92
99.02,89.75,3.33,8.58,8,1,4.87,Team Lead,100.0
51.67,45.02,64.93,4.14,5,2,2.24,Team Lead,51.34
73.99,65.22,54.26,6.62,3,1,2.73,Team Lead,77.95
54.93,41.84,72.77,5.64,11,3,1.66,Team Lead,64.22
63.03,64.71,79.02,4.72,5,1,2.0,HR,60.99
57.02,41.33,88.15,4.09,3,5,1.84,HR,34.68
72.02,75.04,59.97,7.97,2,1,3.25,Employee,86.63
78.65,66.45,36.61,6.27,12,1,2.82,Manager,99.71
51.45,53.46,69.02,5.95,9,2,2.35,HR,70.61
73.39,69.91,43.17,7.25,3,4,3.64,Manager,83.15
93.91,98.4,18.84,9.76,14,1,4.59,Manager,100.0
50.28,43.16,72.76,4.02,2,2,1.69,Employee,39.55
82.75,66.76,35.29,7.52,9,1,3.57,Employee,100.0
76.42,72.2,50.22,6.37,5,1,3.85,Employee,89.84
71.37,79.47,48.19,6.27,7,4,3.54,Employee,87.05
62.72,49.7,80.22,4.52,4,4,1.52,Employee,44.73
54.18,41.26,86.57,5.74,1,3,2.42,Manager,45.4
64.03,58.87,63.89,5.84,9,1,1.47,Team Lead,73.42
58.03,57.31,81.27,5.77,3,4,2.12,HR,52.87
86.09,89.16,4.84,9.41,14,3,4.57,Manager,100.0
53.56,49.71,75.4,4.16,4,5,1.31,HR,38.62
85.15,99.41,2.41,8.81,7,2,4.67,Team Lead,100.0
52.2,61.35,86.74,4.36,2,5,2.06,HR,40.22
74.55,65.91,49.24,6.87,13,4,3.12,HR,96.53
65.46,49.51,86.17,5.23,12,5,1.05,Employee,59.37
51.42,45.27,66.88,4.94,10,4,1.4,Manager,56.77
83.97,67.65,51.36,7.81,5,5,3.0,Team Lead,85.06
55.15,49.19,87.86,5.32,3,3,1.78,Manager,46.47
66.56,49.57,77.67,5.44,1,2,1.36,Team Lead,47.99
55.24,64.95,86.19,5.09,11,1,1.84,Employee,70.73
93.29,87.49,4.7,8.21,11,3,4.87,Team Lead,100.0
93.8,91.62,29.72,9.51,10,5,4.44,Manager,100.0
87.02,95.34,5.66,8.98,14,4,4.36,Team Lead,100.0
69.47,64.56,86.11,4.87,4,3,1.09,Employee,51.33
95.45,85.76,11.95,9.89,4,1,4.41,Manager,100.0
63.27,41.56,86.13,4.37,3,5,1.34,Manager,35.6
85.75,95.45,3.58,9.17,8,4,4.64,HR,100.0
71.57,66.89,40.73,7.34,6,5,3.31,Manager,85.07
75.22,68.08,37.62,7.81,6,5,3.63,Team Lead,90.9
93.79,85.67,29.34,8.53,3,5,4.47,Employee,100.0
60.01,44.15,80.64,4.37,13,5,1.33,Employee,56.61
85.96,81.28,6.17,8.88,7,4,4.35,Team Lead,100.0
77.74,67.84,36.33,7.94,7,2,2.66,HR,95.5
94.34,84.48,1.43,8.51,9,1,4.72,Employee,100.0
70.9,79.67,44.92,7.31,11,2,2.9,Manager,100.0
92.76,95.53,22.8,8.19,2,1,4.45,Team Lead,100.0
53.15,63.7,82.61,4.4,3,4,1.08,Team Lead,41.31
60.17,59.9,74.39,4.09,8,5,2.28,Employee,55.97
77.07,71.19,49.1,7.78,5,4,3.49,HR,89.16
75.52,66.73,38.9,7.24,4,4,2.56,Manager,80.13
87.24,88.99,8.35,9.89,2,4,4.88,Team Lead,100.0
79.37,65.23,46.32,6.12,11,4,3.59,Manager,92.66
62.95,56.89,69.2,5.92,11,5,1.53,Team Lead,68.21
75.79,70.82,52.03,6.68,1,1,2.72,Employee,76.81
83.89,70.3,43.76,7.96,14,4,2.8,Manager,100.0
70.33,79.18,50.9,6.99,7,2,3.9,Employee,95.61
92.91,87.35,21.36,9.41,9,2,4.47,Team Lead,100.0
96.2,82.62,18.47,8.96,6,3,4.47,HR,100.0
75.89,66.75,31.13,7.62,3,1,2.86,HR,89.14
81.33,69.87,38.24,6.45,11,2,3.07,Manager,99.25
77.93,72.5,32.59,6.65,13,3,2.6,HR,100.0
76.27,78.42,33.12,6.97,13,5,2.81,Employee,100.0
66.03,49.94,70.09,4.47,12,4,1.72,Team Lead,64.42
91.19,94.54,8.52,9.62,11,1,4.86,Manager,100.0
97.45,88.64,20.55,8.22,8,3,4.58,HR,100.0
67.7,54.7,67.81,5.77,10,5,2.27,HR,69.99
71.26,72.32,36.6,6.82,10,3,2.88,Team Lead,94.67
91.55,80.59,21.02,9.75,3,1,4.7,Employee,100.0
73.91,73.81,43.04,6.56,6,1,3.11,Team Lead,90.37
62.56,55.74,81.8,4.52,11,2,1.83,Manager,65.75
98.14,89.59,23.36,9.11,10,2,4.85,Employee,100.0
50.75,63.07,69.05,5.34,6,4,1.66,Team Lead,56.79
63.27,40.91,76.7,4.46,11,3,1.21,Manager,57.11
80.74,73.96,32.48,7.51,2,2,3.03,Manager,88.57
56.35,47.66,61.56,5.14,7,3,2.23,Employee,60.94
56.8,52.43,61.51,5.94,6,2,2.15,Team Lead,66.09
68.97,61.42,84.95,5.73,9,2,1.12,Manager,66.91
97.97,80.51,5.88,8.92,14,1,4.67,Team Lead,100.0
61.87,55.99,74.87,4.04,14,4,1.5,Team Lead,64.98
84.65,78.81,42.79,7.01,12,3,2.79,Team Lead,100.0
93.75,87.22,9.71,9.06,3,3,4.99,Team Lead,100.0
77.54,72.4,49.12,6.34,3,5,3.41,Team Lead,76.06
76.45,75.94,37.27,7.19,1,3,3.83,Team Lead,85.51
70.45,69.36,48.26,6.71,5,5,3.66,Employee,80.66
90.3,97.76,15.64,9.67,6,5,4.76,Employee,100.0
70.37,68.92,46.47,7.24,5,2,2.91,Employee,85.73
97.85,93.44,23.15,8.08,10,1,4.05,HR,100.0
55.33,44.1,75.26,5.45,6,4,1.83,Employee,52.37
77.3,73.33,33.33,7.55,6,5,3.64,Employee,92.61
85.58,90.26,17.3,8.94,14,1,4.1,Employee,100.0
82.85,73.16,57.62,7.45,8,5,3.18,Employee,90.28
92.69,83.0,24.19,8.5,3,3,5.0,Team Lead,100.0
90.68,94.32,29.33,9.21,8,2,4.74,HR,100.0
77.92,66.85,37.55,7.13,6,2,3.37,HR,92.53
64.07,50.32,88.03,5.84,9,1,1.77,Team Lead,67.54
73.28,74.82,42.0,7.66,1,1,2.66,Manager,83.94
51.94,56.82,60.0,4.7,14,2,1.79,Manager,74.5
91.08,86.56,19.67,9.25,4,3,4.08,HR,100.0
66.24,63.63,78.35,5.75,11,2,2.49,Manager,79.15
52.89,55.76,78.01,5.95,10,5,2.07,Team Lead,64.49
81.82,73.64,59.21,7.9,3,2,2.79,Manager,86.15
81.47,70.61,30.81,7.91,10,5,2.77,Team Lead,98.78
88.18,85.29,2.35,8.97,9,2,4.03,HR,100.0
56.47,48.99,70.11,5.26,9,1,1.91,Team Lead,66.61
76.18,75.61,46.61,6.55,9,1,3.38,Team Lead,98.07
99.12,95.65,24.06,8.45,5,1,4.88,Employee,100.0
59.29,40.53,89.03,5.49,11,3,1.04,HR,57.8
70.16,69.24,44.21,6.0,13,5,3.37,Employee,92.34
84.18,70.0,52.4,7.91,14,3,2.65,Employee,100.0
88.19,94.59,1.94,8.42,4,4,4.85,Employee,100.0
77.51,69.22,54.23,7.59,5,1,3.3,HR,91.73
81.31,77.99,36.82,7.24,7,2,2.59,HR,95.51
85.62,96.68,6.18,9.22,14,3,4.52,Employee,100.0
90.35,84.13,17.97,8.85,5,5,4.54,Team Lead,100.0
71.0,70.44,34.5,6.29,2,3,3.01,Team Lead,76.49
86.82,89.09,23.76,8.44,10,5,4.44,Team Lead,100.0
78.27,73.42,56.55,6.42,3,3,3.16,Manager,78.17
62.2,63.16,88.06,5.82,10,3,1.46,Manager,67.3
84.3,72.68,34.19,6.79,3,2,3.44,Team Lead,89.16
52.5,50.58,67.18,5.49,13,3,1.21,Manager,68.37
72.66,76.99,39.63,7.02,6,1,3.62,Team Lead,96.54
95.76,96.44,11.92,9.99,7,5,4.37,Team Lead,100.0
80.25,69.72,30.61,6.68,13,2,3.75,Manager,100.0
60.32,59.32,67.58,4.54,7,3,1.31,HR,56.65
75.27,74.1,55.91,6.78,6,5,2.93,Employee,80.41
91.54,96.44,0.41,9.2,10,1,4.89,Manager,100.0
90.87,93.05,2.56,9.75,11,3,4.62,Employee,100.0
83.48,72.02,31.85,6.71,4,1,3.88,Employee,95.04
78.97,70.3,31.54,6.07,14,1,2.67,HR,100.0
57.55,61.46,73.76,5.14,8,5,1.7,Manager,58.24
85.79,96.14,2.54,8.09,8,3,4.24,Manager,100.0
85.51,93.35,27.64,9.17,11,1,4.43,Team Lead,100.0
89.31,87.98,13.45,9.35,7,5,4.73,HR,100.0
65.94,57.2,65.44,5.27,2,5,1.46,Manager,48.2
98.55,95.81,7.05,9.96,11,3,4.36,Employee,100.0
64.91,53.21,67.06,5.4,10,4,2.18,HR,68.63
81.85,76.08,48.76,7.97,4,2,3.3,Team Lead,93.9
87.59,92.09,19.14,9.69,1,1,4.15,Team Lead,100.0
80.17,69.17,32.48,6.89,1,3,3.98,Manager,84.62
68.0,49.23,66.34,5.8,9,4,1.62,HR,65.63
74.36,74.11,38.84,6.18,4,5,2.67,Team Lead,75.34
68.02,40.97,78.42,4.47,4,4,2.49,Employee,48.37
70.44,70.71,42.23,6.97,10,1,3.5,Team Lead,100.0
70.79,71.85,58.26,7.78,1,5,2.65,Manager,71.75
97.24,95.51,4.45,8.15,14,1,4.82,Manager,100.0
57.95,59.42,79.75,5.89,13,5,1.11,HR,67.35
71.47,77.17,54.25,7.41,14,3,3.63,Manager,100.0
81.5,79.24,47.61,6.96,4,2,3.5,HR,90.92
99.45,80.19,28.74,9.48,12,3,4.08,HR,100.0
62.59,59.17,69.96,4.19,3,2,1.29,HR,48.82
74.05,70.57,31.84,7.84,9,2,2.74,Employee,100.0
73.31,71.43,42.38,7.16,14,2,3.48,Team Lead,100.0
77.07,79.69,49.02,6.25,2,3,3.51,Team Lead,80.2
51.35,44.29,74.28,4.82,9,1,2.34,Team Lead,63.08
90.82,85.26,29.73,8.43,12,3,4.82,Manager,100.0
92.58,90.16,4.15,9.97,1,5,4.25,HR,100.0
80.88,74.54,43.45,6.03,14,4,2.59,HR,97.02
86.03,91.84,14.89,9.62,7,2,4.48,Team Lead,100.0
99.83,82.26,16.65,9.54,3,1,4.41,HR,100.0
77.15,67.09,35.81,6.19,7,5,2.9,Team Lead,81.71
97.89,86.59,15.71,8.5,5,2,4.34,Employee,100.0
72.02,72.41,36.93,6.22,12,1,2.53,Manager,98.1
95.6,99.18,24.59,9.2,7,5,4.17,HR,100.0
62.03,40.23,87.77,4.62,13,3,1.1,Team Lead,58.6
98.32,92.61,12.04,8.84,7,4,4.5,Team Lead,100.0
91.89,89.89,26.15,9.78,10,2,4.59,HR,100.0
68.86,48.45,66.66,4.09,6,5,2.06,Employee,51.18
61.98,52.86,84.52,4.48,7,4,1.6,Manager,50.88
63.56,49.34,63.58,4.92,1,5,1.26,Manager,40.89
75.73,68.71,55.24,8.0,11,2,3.68,Employee,100.0
76.09,74.33,55.66,7.58,8,2,3.5,Employee,97.61
90.41,99.88,20.14,9.67,3,1,4.73,HR,100.0
72.53,69.18,35.31,6.18,9,4,2.68,HR,86.12
66.82,44.98,82.7,4.51,8,3,1.99,Manager,56.15
94.8,90.28,10.12,8.42,6,3,4.79,HR,100.0
93.61,95.55,2.01,8.33,12,3,4.09,Manager,100.0
91.63,98.23,15.35,9.74,10,1,4.22,Team Lead,100.0
94.15,91.23,1.91,8.62,1,2,4.36,Team Lead,100.0
79.97,70.45,50.68,6.26,12,1,3.51,Employee,100.0
91.43,97.3,20.84,8.02,14,3,4.62,Team Lead,100.0
80.33,65.88,37.32,7.82,11,1,2.7,Manager,100.0
83.82,66.6,52.45,6.81,8,2,2.62,HR,89.61
90.74,83.95,19.0,9.33,14,4,4.07,HR,100.0
92.2,91.07,5.18,8.65,6,5,4.88,Manager,100.0
50.36,52.62,85.53,5.71,1,1,2.15,Team Lead,50.61
78.51,76.1,47.54,6.99,12,1,2.84,Manager,100.0
98.37,91.85,23.06,9.11,1,4,4.72,Manager,100.0
85.39,93.86,28.17,8.36,1,3,4.52,Manager,100.0
64.9,63.98,65.04,5.12,7,3,1.47,HR,63.36
94.12,96.88,1.28,8.0,9,3,4.4,Employee,100.0
64.38,41.81,75.2,5.12,11,3,1.75,Team Lead,63.93
93.02,82.75,21.14,9.25,1,3,4.52,Employee,100.0
85.47,94.44,23.37,9.34,12,3,4.53,Employee,100.0
76.87,70.78,43.34,6.54,6,1,3.42,Team Lead,91.59
70.61,71.05,51.42,6.86,2,3,2.89,Team Lead,75.42
70.25,71.48,40.66,6.68,3,4,3.01,Manager,77.28
82.54,68.76,44.27,7.15,1,5,2.55,Team Lead,72.94
70.58,67.87,57.99,6.3,10,4,3.4,HR,86.91
83.99,74.77,32.22,7.78,7,1,3.13,HR,100.0
91.01,81.98,4.21,9.25,1,3,4.63,Employee,100.0
74.25,68.89,56.54,6.67,12,3,3.26,Employee,95.57
78.86,66.1,51.34,7.05,13,1,3.44,Employee,100.0
54.79,40.16,71.34,4.94,3,5,1.48,HR,39.58
58.98,64.77,70.96,4.15,5,2,2.07,Employee,57.04
95.48,80.9,9.29,8.6,4,2,4.32,HR,100.0
65.11,64.21,77.73,4.0,10,3,1.14,Employee,59.71
83.64,67.68,43.15,6.22,5,3,3.53,Employee,85.31
73.94,65.21,31.53,7.04,13,5,3.59,Team Lead,100.0
73.84,75.79,51.36,7.38,10,2,3.86,HR,100.0
96.01,84.84,9.42,9.81,3,3,4.66,Team Lead,100.0
66.41,58.7,89.39,4.23,10,4,2.22,Employee,60.58
79.06,72.65,38.37,7.21,7,2,3.22,Employee,96.07
75.56,75.86,42.13,7.94,2,4,3.54,Manager,86.61
57.3,57.37,73.83,5.86,6,5,1.93,HR,57.69
82.77,65.51,49.07,7.77,8,4,3.58,Manager,95.28
86.52,90.68,23.44,8.5,4,5,4.5,Manager,100.0
67.82,53.23,67.59,4.04,12,4,1.98,Manager,65.53
88.55,81.68,23.1,9.26,13,1,4.99,HR,100.0
81.28,75.88,59.93,7.82,14,1,3.53,Employee,100.0
99.12,95.56,27.48,8.08,1,5,4.0,Employee,100.0
83.84,71.58,40.56,6.05,14,3,3.26,Manager,100.0
94.66,85.89,7.37,8.31,10,5,4.14,HR,100.0
91.08,84.07,5.75,8.0,1,1,4.7,Team Lead,100.0
52.22,54.76,80.45,5.87,3,4,2.17,Employee,51.59
72.31,69.31,48.44,6.37,10,3,3.86,Employee,94.35
73.99,68.65,49.45,7.62,2,1,3.05,HR,84.59
69.8,60.48,61.33,4.64,12,3,1.86,Team Lead,73.83
75.15,66.08,37.67,6.41,4,5,3.45,Employee,78.35
74.25,68.01,52.34,7.1,13,5,3.24,HR,96.22
57.97,63.23,60.17,5.62,9,3,2.49,HR,73.96
57.55,50.69,72.61,4.86,11,1,1.22,Team Lead,65.46
68.14,62.35,88.98,5.77,7,4,1.01,Team Lead,57.86
78.55,75.56,52.27,6.25,4,1,3.25,Manager,85.34
77.28,79.61,37.33,7.0,10,5,3.72,HR,99.31
94.16,81.98,27.91,8.35,5,3,4.93,Manager,100.0
77.72,73.83,53.7,7.31,5,1,3.41,Team Lead,92.47
91.53,87.55,4.25,9.45,10,2,4.71,Team Lead,100.0
68.55,53.92,83.48,4.93,7,3,1.71,Employee,57.81
86.09,84.04,16.33,9.59,9,2,4.44,Team Lead,100.0
94.47,91.17,21.04,8.72,3,1,4.81,Employee,100.0
63.53,58.54,77.54,4.55,13,1,1.76,Team Lead,73.51
81.21,75.01,49.25,6.82,13,3,3.8,HR,100.0
88.88,81.06,21.78,8.24,3,1,4.3,Team Lead,100.0
72.46,76.74,45.53,6.64,6,4,3.83,Manager,88.37
90.99,90.69,12.38,8.84,5,3,4.2,Employee,100.0
64.95,41.72,63.92,4.23,5,5,2.43,Team Lead,49.27
53.33,53.27,80.78,4.61,9,1,1.53,Employee,59.85
87.29,94.21,11.49,8.4,12,4,4.81,Employee,100.0
73.07,68.69,57.99,7.51,9,4,3.68,Manager,93.26
59.04,41.3,68.51,5.71,10,3,2.18,Manager,66.93
57.64,53.59,74.04,4.25,4,4,1.97,Manager,46.82
62.34,42.69,85.47,4.56,8,4,2.24,Employee,53.27
77.71,72.61,52.46,7.16,5,2,3.74,Manager,91.22
96.65,88.95,15.72,8.68,8,2,4.49,HR,100.0
55.88,62.52,77.06,4.85,2,5,1.95,Employee,45.28
87.73,91.85,12.14,8.66,14,4,4.61,Team Lead,100.0
87.12,97.09,22.17,9.03,2,5,4.31,Team Lead,100.0
85.47,84.15,27.93,9.9,6,2,4.55,Employee,100.0
92.82,85.79,16.35,8.24,6,2,4.96,Manager,100.0
